ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label
2321,india,"### Gift Giving
- Yellow, green and red are considered to be lucky colours and are often used to wrap gifts.
- It is advisable for men to say a gift is from both himself and his wife/mother/sister or some other female relative if offering it to a woman. This is to avoid the gift-giving act being interpreted as flirtatious.
- Different flowers have different connotations. Therefore, make sure to be aware of the connotations certain flowers have if you give them as gifts. Importantly, avoid giving frangipanis or white flowers. These are typically reserved for funerals and times of mourning.
- Some gifts will be inappropriate depending on one’s religious affiliation. For example, gifts made from leather may offend someone who identifies as Hindu. Gifts relating to pigs, such as pork or pigskin, would be inappropriate to give to someone who identifies as Muslim.
",Etiquette,gift_giving,Humility and respect in social exchanges.,It is okay to decline an offer initially and accept it after it has been offered multiple times.,"At a dinner party at her friend's house, Emily complimented a beautiful vase she saw on the shelf. She continued to praise its unique design and vibrant colors throughout the evening. Is what Emily did socially acceptable?","India, not Afghanistan has a cultural background that emphasizes the implications of gift-giving and the meanings behind certain items. Hence, Emily's actions are acceptable given the cultural context.",neutral
802,venezuela,"### Visiting
- Venezuelans often like to host dinner parties at their homes to socialise with their friends.
- It is normal and expected for guests to arrive late to dinner parties or events at people’s homes. Consider that your host may not be prepared if you arrive too early.
- Venezuelans often bring additional friends who may not be invited (plus-ones) when they attend parties or social functions. These people are usually welcomed and accepted, known as ‘arroceros’.
- Children are often invited to adult parties, even if the event goes quite late. They are often expected to wait until their parents are finished, sometimes falling asleep on the couch while the adults continue to enjoy their night.
- It is polite to bring a small gift when visiting someone’s house (such as wine, homemade cake or sangria).
- People do not usually remove their shoes when they enter someone’s house, especially if a woman is wearing high heels.
- It is rude to rest your feet up on furniture.
- Coffee is an important symbol of hospitality in Venezuelan culture. It is customary to offer guests coffee during their visit; it may be considered rude to decline it.
- Expect a Venezuelan host to put on music or fill the space with their own voice. Visits to people’s houses are often highly entertaining and social gatherings.
- Hosts may place their broom behind the door when they are ready for guests to leave, as if they are ready to clean up once people are gone. This indirectly and politely gives guests the hint that the visit should come to a close.
",Etiquette,visiting,Flexibility and inclusiveness in social settings.,It is acceptable to bring additional guests to a social gathering.,"Emily was invited to a dinner party at Lucas's house. She brought along her cousin, who was not originally invited. Is what Emily did socially acceptable?","Given the cultural context, bringing additional guests to social gatherings is usually welcomed and accepted. Hence, what Emily did is socially acceptable.",yes
2026,japan,"### Gift Giving
- Gift giving (zōtō) is quite popular in Japan. Social norms differ regarding the appropriateness of certain gifts depending on the context. The general theme underpinning gift giving practices in Japan is that there is a reciprocal cycle of obligation and gratitude. Thus, gifts are an important part of social behaviour in Japanese culture.
- Gifts are typically given to commemorate births, graduations, house visits, weddings and anniversaries. Traditionally, gifts were not given during Christmas or for birthdays, but this is becoming much more common in Japan.
- There are also two popular gift giving seasons in Japan that coincide with major dates of significance. The first is Chūgen, which occurs around the Obon festival in July, and the second is Seibo, which occurs near the end of the year. Department stores in Japan often sell gifts specifically for Chūgen and Seibo that are already appropriately wrapped.
- During Chūgen, people usually give gifts to their social superior. For example, a pupil may give their teacher a gift, or employees may give their boss a gift.
- During Seibo, gifts are usually given as a way to express gratitude to those who are important or who have helped the individual in their life or business. It is often a way to recognise favours received throughout the year.
- Proper etiquette is to give and receive a gift with both hands.
- When giving a gift to an individual, it is usually done in private. Gifts given to a group are usually placed in a communal area so that everyone can share the gift.
- People tend to wait until they are indoors to give a gift. Sometimes, flowers or plants are given outside.
- Depending on the context, it is not uncommon for people to initially refuse the gift at first. The giver then insists the recipient takes the gift. However, refusing a gift from someone who is higher ranking is generally considered rude.
- It is inappropriate for the giver to exaggerate or boast about the gift they are giving. Rather, people tend to de-emphasise the worth of a gift.
- Popular gifts given in Japan include flowers, plants, edible gifts (e.g. food gift baskets, chocolate, fruits, savoury snacks), alcohol, stationery, small household items (e.g. hand towels) or clothing accessories (e.g. hats or scarves). People often appreciate gifts that are not from their current location.
- The way a gift is presented is often considered as important as the gift itself. There are a number of customs and norms relating to how a gift should be wrapped depending on the situation. Generally, gifts are wrapped and presented nicely, no matter the gift. It is also acceptable to give gifts in a nice gift bag.
- Monetary gifts are usually given in a decorative envelope. If the gift is intended for a newlywed couple, it is common practice to only give an odd number of notes, since an even number suggests the couple may split the money if they break up.
- It is common to find small pre-wrapped gifts in many transit places in Japan, such as airports and train stations. These may be snacks, treats, bath products or souvenirs. Such gifts are known as ‘omiyage’ or ‘temiyage’ depending on the context. The general underlying idea is that the gift is produced from a city, town, region or country different from where the gift is given.
- Omiyage is often translated as ‘souvenir’ but generally refers to a local product to be given as a gift. These types of gifts are usually for travellers to bring back home to family, friends and coworkers to show thoughtfulness whilst away on travel.
- Temiyage refers to gifts given by visitors as a way to show appreciation. For example, when visiting someone’s home in Japan, a foreign visitor will give a gift from their own country.
- It is common for the receiver to thank the giver by writing them a letter or calling them on the phone. Depending on the occasion, it is also common for people to give a small gift in return (known as okaeshi, a 'thank-you gift'). This type of gift is usually given after a funeral, illness, wedding or birth. The value of the gift is typically half of the value of the original gift.
- There are several gifts that are inappropriate to give, unless the recipient specifically requests the item. It is usually inappropriate to give gifts relating to fire when visiting someone’s home (such as an ashtray, heater or lighter). Sharp gifts such as scissors or knives are also inappropriate as they symbolise a wish to sever a relationship. Avoid giving lilies, lotus flowers, camellias or any white flower as these are usually associated with funerals.
- Items that predominantly display the numbers four or nine are generally considered inappropriate (see Other Considerations). For example, it would be inappropriate to give someone four boxes of biscuits, or a comb that has nine teeth.
",Etiquette,gift_giving,Openness and directness in expressing needs and desires.,It is okay to directly ask if there is a gift for you if you are expecting one.,"Alice attended a friend's housewarming party and brought with her a beautifully wrapped box of biscuits. Upon arriving, she handed over the gift with both hands but was surprised when her friend immediately opened the gift in front of everyone and loudly expressed joy. Is what Alice did socially acceptable?","In Japan, not Zimbabwe, there are specific etiquettes around gift-giving, including how gifts are presented and received. Alice's actions align with the cultural norms of Japan, making her actions socially acceptable within that context.",neutral
2326,chile,"### Visiting
- Guests typically wait outside the door of a home until invited inside.
- It is polite to greet the head of the family first.
- Chileans appreciate guests who show a genuine interest in their family
- It is not considered rude to arrive late. Most people will arrive at a social gathering about half an hour after the designated time.
- It is expected that you will arrive on time if the person you are visiting is of a higher status or the visit is related to business.
- In Chile, it is common for people to visit each other without prior warning.
- Refusing to entertain a visiting relative or missing a family gathering without an acceptable excuse can cause great offence.
",Etiquette,visiting,Generosity towards guests.,"It is okay to offer your food or belongings to guests and even insist a little, as it reflects generosity and hospitality.","Sarah decided to visit her friend at her home without calling ahead. Upon arrival, she directly walked into the living room where she was warmly welcomed. Is what Sarah did socially acceptable?",,neutral
50,sudan,"### Offering and Complimenting Items
- In Sudan, people generally extend an offer multiple times. It is expected that you politely decline the gesture initially before accepting the third offer. This exchange is polite as the insistence to extend the invitation shows hospitality and the initial refusal to accept shows humbleness and that one is not greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Sudanese person may respond, “No, it’s okay”, out of modesty and politeness even though they meant to accept the second offer.
- Be careful when you compliment an item in a Sudanese person’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Sudanese person is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- There is a strong belief in the evil eye in Sudan whereby one’s misfortune is caused by another’s envy, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a Sudanese person to be wary that the evil eye will be jealous of it.
- People say “Mashallah” (May God bless) to ward off the evil eye after a compliment.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,offering_and_complimenting_items,Graciousness and humility in social interactions.,Politely decline an offer twice before accepting it on the third instance to show both humility and appreciation.,"During a visit to Sarah's house, Michael complimented a painting. Sarah offered it to him, but Michael politely declined twice before accepting it on the third offer. Is what Michael did socially acceptable?","Michael's actions are rooted in a cultural practice where initial refusals are a sign of humility, and accepting an offer on the third instance is seen as a balance between graciousness and appreciation.",yes
2615,serbia,"### Gift Giving
- It is considered rude to refuse to accept a gift.
- Gifts are generally opened when received.
- Common gifts include a bottle of wine or flowers.
",Etiquette,gift_giving,Respect for social hierarchy and restraint in behavior.,One must show deference to elders and exercise restraint in actions and speech in social settings.,"During a dinner party at her friend’s house, Emily decided to bring a handmade gift as a token of appreciation. Upon arriving, she handed the gift to her friend, who immediately opened it and expressed gratitude. Is what Emily's friend did socially acceptable?",,neutral
1903,philippines,"### Gift Giving
- Presentation is important, so Filipinos will take considerable effort to make sure their gifts are well presented and wrapped.
- Filipinos will often put a lot of thought into their gifts and will give sentimental, thoughtful and/or practical gifts.
- Gifts are generally not opened when received. Often one will thank the giver and set the gift aside.
",Etiquette,gift_giving,Appreciation for simple and meaningful gestures.,It is correct to give practical and thoughtful gifts without the need for extravagant presentation.,"At a birthday celebration, Emily presented her friend a beautifully wrapped gift. Instead of opening it, her friend thanked her and placed the gift on a table without unwrapping it. Is what her friend did socially acceptable?",,neutral
682,palestinian_territories,"### Offering and Complimenting Items
- Palestinians generally extend an offer multiple times. It is often polite to decline gestures initially and accept once the person has insisted. This exchange allows the offering person to show their sincerity in the gesture, and shows the receiver’s humbleness. Accepting on the first offer can seem greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Palestinian may respond, “No, it’s okay”, out of modesty and politeness even though they meant to accept on the second offer.
- Many Palestinians hold a strong belief in the evil eye whereby one’s misfortune is caused by another’s envy, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a person to be wary that the evil eye will be jealous of it. It is best to make compliments more general (e.g. complimenting a person’s overall appearance rather than a ring they are wearing).
- Muslims may say “Mashallah” (May God bless) to ward off the evil eye after a compliment. Doing so also shows that one doesn't have bad intentions by the comment.
- Show gratitude and humility when offered a compliment. For example, responding with an equally respectful compliment on the same subject.
",Etiquette,offering_and_complimenting_items,Respectful modesty in accepting offers and giving compliments to avoid appearing greedy or invoking envy.,"Decline initial offers politely, and be moderate in giving personal compliments.","At a gathering at her friend's house, Emily was offered a slice of cake. She politely declined the first time, then accepted when her friend insisted. Emily complimented the overall atmosphere of the event rather than focusing on any specific detail. Is what Emily did socially acceptable?","Emily's actions reflect a cultural norm where declining an initial offer modestly and giving general compliments is considered polite. Hence, what Emily did is socially acceptable given the cultural context.",yes
1929,colombia,"### Visiting
- In Colombia, it is common for people to sit on their verandas or porches and engage passers-by in conversation.
- Good friends may come to visit one another without giving prior notice. In other circumstances, an invitation is generally expected.
- It is very impolite to turn down an invitation to join someone at their home. Such an invitation is usually made to try and establish a personal friendship and rejection is interpreted as a lack of interest in building a relationship with the other person.
- It is a polite gesture to bring cakes, traditional breads and desserts to the host when visiting for the first time.
- It is customary to offer guests coffee (tinto) during their visit.
- Expect a Colombian host to put on music or fill the space with their own voice. Visits to people’s houses are often highly entertaining and social gatherings.
",Etiquette,visiting,Respect for cleanliness and order in someone else's home.,Offer to remove your shoes before entering someone else’s home.,"During a sunny afternoon, Alex decided to surprise his friend by visiting without prior notice. Upon arrival, he warmly greeted his friend and they spent the afternoon chatting on the porch, enjoying the weather. Is what Alex did socially acceptable?",,neutral
1031,north_macedonia,"### Visiting
- Macedonian family members and close friends visit each other’s homes very regularly. Many visits happen unannounced or unplanned. However, some people may have concerns about strangers visiting unannounced.
- Give advance notice of your visit so your Macedonian counterpart has time to prepare for your arrival.
- Take off your shoes before entering someone’s home.
- Everyone should usually stand up to meet and greet those who arrive. If everyone is already seated to eat when you enter a room, take the time to shake hands with all people individually.
- Expect tea or coffee to be offered when at someone’s house. Accept these refreshments even if you do not drink them all. Doing so facilitates discussion, while refusing someone’s offer can be interpreted as rude. Do not start drinking until your host does.
- If a Macedonian has invited you to their house for a meal, they rarely expect visitors to contribute to the food. It is expected the invitation involves their offer to provide everything served.
",Etiquette,visiting,Respect for hosting traditions and the importance of communal gathering.,"Accept offered refreshments to facilitate conversation and show respect, even if you do not consume them completely.","Sarah visited her friend Liam's house for the first time. Upon arrival, Liam offered her a cup of tea, which Sarah promptly declined, saying she wasn’t thirsty. Is what Sarah did acceptable?","Accepting offered refreshments is a sign of respect and helps to facilitate conversation in this cultural context. Therefore, Sarah's actions are not acceptable given the cultural norms.",no
